iter	Passed	Remaining
0	138	138818
1	144	71938
2	149	49603
3	154	38511
4	158	31484
5	162	26851
6	166	23640
7	171	21257
8	174	19185
9	178	17669
10	182	16401
11	185	15311
12	188	14295
13	191	13478
14	194	12763
15	198	12193
16	201	11635
17	204	11132
18	206	10653
19	208	10223
20	210	9831
21	212	9454
22	214	9128
23	217	8849
24	220	8583
25	221	8315
26	223	8063
27	225	7831
28	227	7616
29	229	7414
30	230	7220
31	232	7041
32	234	6873
33	236	6717
34	238	6571
35	240	6433
36	242	6300
37	244	6177
38	245	6054
39	247	5937
40	249	5828
41	250	5724
42	252	5626
43	254	5533
44	256	5445
45	258	5363
46	260	5279
47	262	5200
48	264	5124
49	265	5050
50	267	4980
51	269	4913
52	271	4849
53	273	4788
54	275	4728
55	276	4669
56	278	4610
57	280	4553
58	282	4500
59	284	4450
60	285	4402
61	287	4356
62	289	4309
63	291	4262
64	293	4214
65	294	4171
66	296	4129
67	298	4089
68	300	4051
69	302	4017
70	303	3976
71	305	3940
72	307	3905
73	309	3870
74	311	3838
75	313	3806
76	315	3776
77	317	3747
78	318	3716
79	321	3692
80	322	3664
81	324	3636
82	326	3609
83	328	3583
84	330	3558
85	332	3538
86	334	3513
87	336	3488
88	338	3464
89	340	3441
90	342	3418
91	344	3395
92	345	3373
93	347	3351
94	349	3329
95	351	3308
96	353	3289
97	355	3269
98	357	3249
99	358	3230
100	360	3209
101	362	3190
102	364	3173
103	366	3155
104	368	3138
105	370	3120
106	371	3102
107	373	3085
108	375	3068
109	377	3052
110	379	3036
111	381	3021
112	382	3005
113	385	2993
114	386	2975
115	388	2960
116	390	2947
117	392	2933
118	394	2919
119	396	2906
120	398	2894
121	400	2880
122	402	2867
123	404	2854
124	405	2841
125	407	2828
126	409	2815
127	411	2803
128	413	2791
129	415	2780
130	417	2768
131	419	2756
132	421	2746
133	423	2736
134	425	2727
135	427	2717
136	429	2706
137	431	2694
138	433	2682
139	434	2671
140	436	2661
141	438	2651
142	440	2641
143	442	2631
144	444	2621
145	446	2612
146	448	2602
